Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
31.54,10.567,14.067049656600446
32.97,1.533,6.700032403847217
35.690000000000005,15.867,10.870440190942936
34.34,2.25,10.947210710903896
15.870000000000001,13.383,11.554295436735273
24.560000000000002,29.4,10.027967910592558
59.32,26.417,7.700441147801733
24.41,24.683,9.575961939879235
20.659999999999997,8.817,8.584025032173571
0.0,26.65,12.074025207862526
13.76,6.283,7.862188996122356
22.74,2.967,10.753100692423928
53.03,5.4,9.26598973129174
25.73,9.417,7.582966638298288
23.4,19.567,13.527485695011535
39.89,0.3,9.278736967051202
22.13,5.0,13.540923299995526
9.510000000000002,9.65,10.626216716299666
31.85,19.833,7.908084140550592
51.49,12.217,6.582458995931617
10.69,1.583,5.90786437397221
30.99,9.633,10.725154289365463
17.22,9.3,9.886448192781891
23.02,11.95,8.94183318829468
30.18,4.267,10.658251619341812
28.6,15.3,13.872170289638362
16.94,6.783,11.231487625615657
28.8,8.55,9.955560006909309
27.98,1.067,10.5256349374757
24.86,8.333,9.99817562291043
27.0,17.783,8.851230567917057
10.4,0.6,9.265226611838862
20.65,0.0,8.945836058591375
20.11,1.217,10.539455441392612
35.48,15.333,9.834498880039668
26.47,6.133,9.801114794316902
21.48,20.6,11.555628229388589
11.88,12.033,11.765059829259059
41.52,1.15,4.239653214380873
16.29,12.733,10.737323443313564
28.14,0.0,9.008693874680773
23.38,2.317,10.004787761290764
39.24,5.117,11.272009655840712
25.41,5.517,8.536407270857914
0.0,15.867,11.976405019190835
153.04999999999998,7.333,3.0562349609739954
19.58,1.2,9.946222268634635
13.47,4.717,12.966890878943936
38.97,0.017,13.221076953768765
17.99,2.0,10.12506102874201
18.62,16.533,11.688250708039362
126.09,4.467,6.666011254231925
13.02,4.283,11.500968255582983
28.79,2.183,11.202457812026772
36.53,5.383,10.097418057372018
58.33,7.983,13.121217062754084
28.349999999999998,17.917,10.473469842056687
16.39,4.983,7.141069531081882
26.48,2.733,11.315152489112513
16.94,20.367,11.327186840361279
16.39,7.117,7.439103611350241
21.71,0.75,11.546708968723763
21.8,6.317,10.908276652239714
29.860000000000003,16.117,10.45177583139754
39.67,3.783,10.691232843999039
23.5,12.6,8.298380402355896
47.650000000000006,0.833,8.907065173370071
