,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
298,541,4.617,,14.833,iOS,Delivery,37.01,0.0
299,541,13.283,41.75,25.783,iOS,Delivery,39.67,3.0
300,541,1.85,17.45,9.183,iOS,Delivery,30.67,5.14
301,541,3.6,27.283,14.633,iOS,Delivery,13.28,1.24
302,541,1.583,28.467,13.967,iOS,Delivery,23.28,4.57
303,541,8.6,25.333,17.817,iOS,Delivery,27.57,3.15
304,541,4.767,,14.75,iOS,Delivery,28.16,4.63
305,541,6.767,,14.183,iOS,Delivery,27.95,2.0
306,541,1.85,23.733,12.067,iOS,Delivery,31.37,0.0
307,541,2.933,,11.3,iOS,Delivery,27.97,0.0
308,541,7.9,33.65,19.933,iOS,Delivery,26.07,0.0
309,541,5.683,27.033,16.35,iOS,Delivery,13.98,0.0
310,541,0.383,25.083,14.383,iOS,Delivery,102.63,15.0
311,541,3.317,28.417,12.867,iOS,Delivery,16.08,2.22
312,541,23.783,,34.6,Android,Carryout,23.88,0.0
313,541,24.9,,31.55,Android,Carryout,14.09,0.0
314,541,11.183,,19.8,Android,Carryout,22.96,0.0
315,541,2.283,,14.0,Android,Delivery,43.08,7.24
316,541,5.917,32.717,19.417,Android,Delivery,44.58,7.92
317,541,7.433,42.6,26.25,Android,Delivery,47.97,3.22
318,541,23.65,,37.783,Grubhub,Delivery,31.57,0.0
319,541,280.017,,289.9,DoorDash,Delivery,20.84,0.0
320,541,3.367,,13.717,DoorDash,Delivery,14.47,0.0
321,541,40.683,,50.383,DoorDash,Delivery,18.37,0.0
322,541,3.433,,16.45,DoorDash,Delivery,16.27,0.0
323,541,182.75,,192.25,DoorDash,Delivery,18.67,0.0
324,541,27.233,,35.683,DoorDash,Delivery,25.38,0.0
325,541,241.883,,263.917,DoorDash,Delivery,170.9,0.0
326,541,6.183,,15.583,DoorDash,Delivery,17.09,0.0
327,541,26.45,,39.133,DoorDash,Delivery,40.53,0.0
328,541,18.6,,26.017,DoorDash,Delivery,14.93,0.0
329,541,5.867,,15.917,DoorDash,Delivery,17.09,0.0
330,541,28.0,,35.617,DoorDash,Delivery,14.48,0.0
331,541,4.267,,11.117,DoorDash,Delivery,10.29,0.0
332,541,113.7,,121.65,DoorDash,Delivery,20.25,0.0
333,541,57.017,,68.133,DoorDash,Delivery,14.29,0.0
334,541,18.517,,26.283,DoorDash,Delivery,7.79,0.0
335,541,142.467,,151.9,DoorDash,Delivery,17.28,0.0
336,541,23.5,,34.333,PapaCall,Carryout,50.25,0.0
337,541,43.1,,50.533,PapaCall,Carryout,12.98,0.0
338,541,23.75,,30.467,PapaCall,Carryout,14.09,0.0
339,541,44.583,,53.633,PapaCall,Carryout,34.28,0.0
340,541,-0.017,,9.367,PapaCall,Carryout,28.18,2.0
341,541,3.233,,12.05,PapaCall,Carryout,23.58,0.0
342,541,1.717,,15.417,PapaCall,Carryout,13.98,0.0
343,541,206.467,,217.183,PapaCall,Carryout,33.47,3.54
344,541,0.467,,9.617,PapaCall,Carryout,10.98,0.0
345,541,9.8,,18.317,PapaCall,Carryout,10.17,1.61
346,541,16.267,,25.417,PapaCall,Carryout,14.09,0.0
347,541,10.3,,18.75,PapaCall,Carryout,18.88,0.0
348,541,1.7,,10.683,PapaCall,Delivery,18.67,0.0
349,541,2.833,18.517,9.667,PapaCall,Delivery,26.07,5.53
350,541,10.65,31.3,18.717,PapaCall,Delivery,22.08,2.86
351,541,3.5,,11.333,PapaCall,Delivery,30.45,5.81
352,541,0.35,18.45,11.183,PapaCall,Delivery,45.27,7.2
353,541,7.267,24.15,15.8,PapaCall,Delivery,42.37,5.43
354,541,0.0,,10.083,In Person,Carryout,18.29,0.0
355,541,,,0.0,In Person,Carryout,8.97,0.0
356,541,0.0,,7.567,In Person,Carryout,8.29,0.0
357,541,0.0,,7.133,In Person,Carryout,13.37,0.0
358,541,0.0,,9.733,In Person,Carryout,14.09,0.0
359,541,0.0,,13.917,In Person,Carryout,15.48,0.0
360,541,0.0,,10.35,In Person,Carryout,14.48,0.0
361,541,-0.017,,8.467,In Person,Carryout,27.64,0.0
362,541,,,0.0,In Person,Carryout,5.98,0.0
